date,traf,hour,is_weekday,day,region,lower,upper,region2,predict,tech,kpi
2023-05-30 19:00:00,,19,1,30,Aran,1555075.1768275755,2101156.951623905,1,1828116.0642257405,4G,data traf
2023-05-30 20:00:00,,20,1,30,Aran,1628674.5098975108,2222842.663681248,1,1925758.5867893791,4G,data traf
2023-05-30 21:00:00,,21,1,30,Aran,1863371.874895348,2533510.796189972,1,2198441.33554266,4G,data traf
2023-05-30 22:00:00,,22,1,30,Aran,1990934.230344587,2671868.1023885105,1,2331401.1663665487,4G,data traf
2023-05-30 23:00:00,,23,1,30,Aran,1061493.5059289397,1906426.3414971123,1,1483959.923713026,4G,data traf
2023-05-29 23:00:00,6628508.02156353,23,1,29,Baku,3728179.656649135,5317909.603082329,2,4523044.629865732,4G,data traf
2023-05-30 00:00:00,5223167.632635117,0,1,30,Baku,5360879.862322112,5562979.900538397,2,5461929.881430254,4G,data traf
2023-05-30 01:00:00,3700681.293582916,1,1,30,Baku,3917973.368038102,4129235.771907787,2,4023604.569972944,4G,data traf
2023-05-30 02:00:00,2439909.32097435,2,1,30,Baku,2612633.861837091,2749993.1112821866,2,2681313.4865596388,4G,data traf
2023-05-30 03:00:00,1627051.2464151382,3,1,30,Baku,1712666.113209905,1786050.5400639824,2,1749358.3266369435,4G,data traf
2023-05-30 04:00:00,1139622.7014894483,4,1,30,Baku,1179886.0568867612,1228097.7702845645,2,1203991.9135856628,4G,data traf
2023-05-30 05:00:00,890811.5865573883,5,1,30,Baku,926677.270655406,974404.6400150652,2,950540.9553352356,4G,data traf
2023-05-30 06:00:00,1298787.1358270645,6,1,30,Baku,1139177.8066867883,1373809.6408312554,2,1256493.7237590218,4G,data traf
2023-05-30 07:00:00,2795138.3245096207,7,1,30,Baku,2171869.595752396,2459593.477163005,2,2315731.5364577007,4G,data traf
2023-05-30 08:00:00,5051895.982092857,8,1,30,Baku,3495830.0193964066,4564986.3600881705,2,4030408.189742289,4G,data traf
2023-05-30 09:00:00,,9,1,30,Baku,4761603.764731649,5414579.37286141,2,5088091.568796529,4G,data traf
2023-05-30 10:00:00,,10,1,30,Baku,5558776.671400286,6199311.785936922,2,5879044.228668604,4G,data traf
2023-05-30 11:00:00,,11,1,30,Baku,5983167.237265047,6616792.113907782,2,6299979.675586415,4G,data traf
2023-05-30 12:00:00,,12,1,30,Baku,6308958.124241407,6906993.430753919,2,6607975.777497663,4G,data traf
2023-05-30 13:00:00,,13,1,30,Baku,6690181.903282411,7270150.198086034,2,6980166.050684223,4G,data traf
2023-05-30 14:00:00,,14,1,30,Baku,6978429.227819684,7495300.557995631,2,7236864.892907658,4G,data traf
2023-05-30 15:00:00,,15,1,30,Baku,7057397.186158773,7533153.836292285,2,7295275.511225529,4G,data traf
2023-05-30 16:00:00,,16,1,30,Baku,7124339.854793999,7593658.083012093,2,7358998.968903046,4G,data traf
2023-05-30 17:00:00,,17,1,30,Baku,6650520.604506502,8245110.115665084,2,7447815.360085793,4G,data traf
2023-05-30 18:00:00,,18,1,30,Baku,6680710.638319565,8211456.021328853,2,7446083.329824209,4G,data traf
2023-05-30 19:00:00,,19,1,30,Baku,6636778.2559844805,8007562.417645968,2,7322170.336815224,4G,data traf
2023-05-30 20:00:00,,20,1,30,Baku,6621492.933216311,7884849.669589361,2,7253171.301402836,4G,data traf
2023-05-30 21:00:00,,21,1,30,Baku,6715327.514419752,7965356.629494929,2,7340342.07195734,4G,data traf
2023-05-30 22:00:00,,22,1,30,Baku,6583613.45717654,7793902.062186634,2,7188757.759681587,4G,data traf
2023-05-30 23:00:00,,23,1,30,Baku,3728179.656649135,5317909.603082329,2,4523044.629865732,4G,data traf
2023-05-29 23:00:00,1568748.7272853851,23,1,29,Ganja,1667558.361829349,1768498.782344273,3,1718028.572086811,4G,data traf
2023-05-30 00:00:00,1317024.698984146,0,1,30,Ganja,1424722.2484891275,1487606.21654139,3,1456164.2325152587,4G,data traf
2023-05-30 01:00:00,869609.4331207275,1,1,30,Ganja,972290.032977216,1027272.2472648836,3,999781.1401210498,4G,data traf
2023-05-30 02:00:00,587411.932434082,2,1,30,Ganja,592249.7311783537,625597.7501606432,3,608923.7406694985,4G,data traf
2023-05-30 03:00:00,366292.98202991486,3,1,30,Ganja,363443.4654417725,381414.4922969703,3,372428.9788693714,4G,data traf
2023-05-30 04:00:00,268372.6877613068,4,1,30,Ganja,261390.65728347428,275361.4635171926,3,268376.06040033343,4G,data traf
2023-05-30 05:00:00,254923.007098198,5,1,30,Ganja,248525.56892453108,260954.3258441648,3,254739.9473843479,4G,data traf
2023-05-30 06:00:00,434753.9487962723,6,1,30,Ganja,407552.4926331476,431640.1158666273,3,419596.3042498875,4G,data traf
2023-05-30 07:00:00,732235.5831317902,7,1,30,Ganja,666694.284497626,716449.8461301016,3,691572.0653138638,4G,data traf
2023-05-30 08:00:00,931752.6513090134,8,1,30,Ganja,805175.7901928562,990975.314366222,3,898075.552279539,4G,data traf
2023-05-30 09:00:00,,9,1,30,Ganja,1110550.3693605107,1201570.3093786174,3,1156060.339369564,4G,data traf
2023-05-30 10:00:00,,10,1,30,Ganja,1250071.6913868766,1352783.8704984612,3,1301427.780942669,4G,data traf
2023-05-30 11:00:00,,11,1,30,Ganja,1358304.6791475315,1464519.1406994034,3,1411411.9099234676,4G,data traf
2023-05-30 12:00:00,,12,1,30,Ganja,1399278.6315989024,1500714.4873421188,3,1449996.5594705106,4G,data traf
2023-05-30 13:00:00,,13,1,30,Ganja,1416283.6413826998,1522185.2924214308,3,1469234.466902065,4G,data traf
2023-05-30 14:00:00,,14,1,30,Ganja,1430542.7421731537,1529650.6217733414,3,1480096.6819732476,4G,data traf
2023-05-30 15:00:00,,15,1,30,Ganja,1420520.731181865,1517662.56180016,3,1469091.6464910123,4G,data traf
2023-05-30 16:00:00,,16,1,30,Ganja,1414493.661958187,1509710.210114129,3,1462101.9360361577,4G,data traf
2023-05-30 17:00:00,,17,1,30,Ganja,1369429.0841050297,1471449.2492734191,3,1420439.1666892243,4G,data traf
2023-05-30 18:00:00,,18,1,30,Ganja,1323845.7185863825,1426865.0076544052,3,1375355.3631203938,4G,data traf
2023-05-30 19:00:00,,19,1,30,Ganja,1344282.9262732351,1468746.906127602,3,1406514.9162004185,4G,data traf
2023-05-30 20:00:00,,20,1,30,Ganja,1484308.5755907828,1588561.9909551996,3,1536435.2832729912,4G,data traf
2023-05-30 21:00:00,,21,1,30,Ganja,1630284.6718003028,1757495.081636835,3,1693889.8767185688,4G,data traf
2023-05-30 22:00:00,,22,1,30,Ganja,1680283.387020798,1790242.4993434902,3,1735262.943182144,4G,data traf
2023-05-30 23:00:00,,23,1,30,Ganja,1667558.361829349,1768498.782344273,3,1718028.572086811,4G,data traf
2023-05-29 23:00:00,592181.1337499619,23,1,29,Lankaran,566024.1413298162,626669.5386959711,4,596346.8400128937,4G,data traf
2023-05-30 00:00:00,495912.7587919235,0,1,30,Lankaran,551180.7398620648,587509.052331615,4,569344.8960968399,4G,data traf
2023-05-30 01:00:00,367277.9518795013,1,1,30,Lankaran,399090.60573773104,429653.68648183154,4,414372.1461097813,4G,data traf
2023-05-30 02:00:00,212193.37287807465,2,1,30,Lankaran,244830.06542189608,265681.9456795787,4,255256.0055507373,4G,data traf
2023-05-30 03:00:00,137536.74948310852,3,1,30,Lankaran,131847.51634172886,144741.85946202785,4,138294.68790187835,4G,data traf
2023-05-30 04:00:00,104164.79566001892,4,1,30,Lankaran,104697.8756054169,114361.51964335858,4,109529.69762438774,4G,data traf
2023-05-30 05:00:00,95208.81105613708,5,1,30,Lankaran,101946.64772418172,107070.27597538798,4,104508.46184978486,4G,data traf
2023-05-30 06:00:00,154344.39783477783,6,1,30,Lankaran,152192.39087278442,164171.88939542696,4,158182.1401341057,4G,data traf
2023-05-30 07:00:00,269134.4512767792,7,1,30,Lankaran,247798.6575741026,271505.8247281626,4,259652.2411511326,4G,data traf
2023-05-30 08:00:00,328149.3382320404,8,1,30,Lankaran,298894.3968703021,366223.23112208,4,332558.813996191,4G,data traf
2023-05-30 09:00:00,,9,1,30,Lankaran,381928.7872934784,425392.7322156844,4,403660.75975458144,4G,data traf
2023-05-30 10:00:00,,10,1,30,Lankaran,419527.0868673054,471308.4558004841,4,445417.7713338948,4G,data traf
2023-05-30 11:00:00,,11,1,30,Lankaran,449562.7173547298,506044.5617361134,4,477803.6395454216,4G,data traf
2023-05-30 12:00:00,,12,1,30,Lankaran,466784.67171452014,518922.6352447656,4,492853.6534796429,4G,data traf
